dZ (in.),Camber (deg),Roll Center Height (in.)
0.10000000000000009,-1.6796963901422697,1.4584090796667077
0.15000000000000036,-1.7705746229622739,1.46658670002346
0.20000000000000018,-1.8621458350705093,1.4755827777442585
0.25,-1.9544148089827051,1.4854036029643203
0.30000000000000027,-2.0473863813574504,1.4960555088635492
0.3500000000000001,-2.141065443507418,1.507544870434518
0.40000000000000036,-2.235456941917115,1.5198781032009159
0.4500000000000002,-2.330565878767769,1.5330616618851072
0.5,-2.4263973124693194,1.547102039023432
0.5500000000000003,-2.522956358199046,1.5620057635278684
0.6000000000000001,-2.620248188447671,1.577779399192677
0.6500000000000004,-2.7182780335727177,1.5944295431445341
0.7000000000000002,-2.817051182358626,1.6119628242348074
0.75,-2.9165729825845768,1.6303859013725126
0.8000000000000003,-3.016848841599806,1.6497054617964635
0.8500000000000001,-3.1178842269060656,1.6699282192852012
0.9000000000000004,-3.219684666747606,1.691060912303196
0.9500000000000002,-3.3222557507093304,1.7131103020819245
1.0,-3.425603130321731,1.7360831706341473
1.0499999999999998,-3.52973251967435,1.7599863187001363
1.1000000000000005,-3.634649696036947,1.7848265636242144
1.1500000000000004,-3.7403605004879217,1.8106107371601081
1.2000000000000002,-3.846870838551961,1.8373456832036528
1.25,-3.9541866808446,1.8650382554513805
1.2999999999999998,-4.062314063725649,1.8936953149833702
1.3500000000000005,-4.171259089960652,1.9233237277690285
1.4000000000000004,-4.281027929390664,1.9539303620941528
1.4500000000000002,-4.391626819610688,1.9855220859079503
1.5,-4.503062066656515,2.018105764088344
1.5499999999999998,-4.615340045699973,2.051688255624335
1.6000000000000005,-4.728467201753398,2.0862764107137317
1.6500000000000004,-4.842450050382647,2.1218770677750105
1.7000000000000002,-4.957295178428845,2.1584970503717487
1.75,-5.073009244739606,2.196143164048316
1.8000000000000007,-5.189598980909302,2.2348221930754257
1.8500000000000005,-5.307071192028224,2.274540897104128
1.9000000000000004,-5.425432757441661,2.3153060077271386
1.9500000000000002,-5.544690631517873,2.3571242249458564
2.0,-5.664851844426296,2.4000022135422037
2.0500000000000007,-5.785923502925086,2.443946599353786
2.1000000000000005,-5.907912791158414,2.4889639654513482
2.1500000000000004,-6.030826971464136,2.5350608482173422
2.2,-6.154673385191283,2.582243733324511
2.25,-6.279459453527884,2.630519051613494
2.3000000000000007,-6.405192678338996,2.6798931748684844
2.3500000000000005,-6.531880643015772,2.7303724114899253
2.4000000000000004,-6.6595310133345,2.7819630020635713
2.45,-6.788151538326951,2.8346711148249337
2.5,-6.917750051161706,2.888502841018578
2.5500000000000007,-7.048334470036157,2.9434641901514276
2.6000000000000005,-7.179912799080357,2.999561085139843
2.6500000000000004,-7.312493129272056,3.0567993573495444
2.7,-7.446083639363617,3.1151847415285423
2.75,-7.580692596820104,3.1747228706323183
2.8000000000000007,-7.716328358770298,3.2354192705413474
2.8500000000000005,-7.8529993729692205,3.2972793546707897
2.9000000000000004,-7.990714178773376,3.3603084184724574
2.95,-8.129481408128516,3.4245116338291024
3.0,-8.269309786570076,3.4898940433414127
