dZ (in.),Camber (deg),Roll Center Height (in.)
-0.5,-0.38791575315525484,1.9699230078340841
-0.44999999999999973,-0.49482610643529545,1.955666083338681
-0.3999999999999999,-0.6026589293474681,1.9426087537657513
-0.34999999999999964,-0.7114260811886519,1.93076918502259
-0.2999999999999998,-0.8211396368819921,1.920165935347952
-0.25,-0.9318118915709516,1.9108179601288129
-0.19999999999999973,-1.0434553653345657,1.9027446166865247
-0.1499999999999999,-1.1560828080253285,1.8959656690226554
-0.09999999999999964,-1.2697072042356787,1.8905012925146512
-0.04999999999999982,-1.3843417783947054,1.8863720785505755
0.0,-1.5,1.883599039091504
0.050000000000000266,-1.616695588988679,1.8822036111495783
0.10000000000000009,-1.7344425212512928,1.8822076611687726
0.15000000000000036,-1.853255034292995,1.8836334892947288
0.20000000000000018,-1.9731476330464672,1.8865038335192554
0.25,-2.094135095841251,1.8908418736839536
0.30000000000000027,-2.21623248053356,1.8966712353268416
0.3500000000000001,-2.3394551308026497,1.9040159933545708
0.40000000000000036,-2.4638186826174335,1.9129006755220928
0.4500000000000002,-2.5893390708793063,1.9233502657002846
0.5,-2.7160325362468156,1.9353902069112603
0.5500000000000003,-2.8439156321466927,1.9490464041095235
0.6000000000000001,-2.9730052319785454,1.9643452266864405
0.6500000000000004,-3.1033185365175644,1.981313510673626
0.7000000000000002,-3.2348730815226423,1.9999785606200233
0.75,-3.367686745555954,2.0203681511159033
0.8000000000000003,-3.5017777580202205,2.042510527935356
0.8500000000000001,-3.6371647074210505,2.0664344087677686
0.9000000000000004,-3.773866549861408,2.0921689835069235
0.9500000000000002,-3.9119026177754948,2.119743914064767
1.0,-4.0512926289090885,2.149189333675343
1.0499999999999998,-4.1920566955556655,2.180535845652611
1.1000000000000005,-4.3342153340548935,2.213814521563872
1.1500000000000004,-4.477789474563368,2.2490568987790907
1.2000000000000002,-4.6228004711054425,2.286294977353868
1.25,-4.769270111913683,2.325561216202469
1.2999999999999998,-4.917220630068265,2.3668885285146897
1.3500000000000005,-5.066674714445776,2.410310276368754
1.4000000000000004,-5.217655520986241,2.4558602644896155
1.4500000000000002,-5.370186684290647,2.5035727331006337
1.5,-5.524292329558634,2.553482349813428
1.5499999999999998,-5.679997084877986,2.6056242004989763
1.6000000000000005,-5.837326093878335,2.6600337790804134
1.6500000000000004,-5.996305028761089,2.7167469761854544
1.7000000000000002,-6.156960103717571,2.775800066594225
1.75,-6.319318088749604,2.8372296954149934
1.8000000000000007,-6.483406323906228,2.9010728629188587
1.8500000000000005,-6.649252733949609,2.9673669079606917
1.9000000000000004,-6.816885843466968,3.03614948991204
1.9500000000000002,-6.9863347924421495,3.1074585690282657
2.0,-7.157629352303502,3.181332385169928
2.0500000000000007,-7.3307999424656405,3.257809434796305
2.1000000000000005,-7.505877647380727,3.336928446145162
2.1500000000000004,-7.682894234118815,3.418728352511474
2.2,-7.86188217049527,3.5032482635348856
2.25,-8.042874643764868,3.59052743440307
2.3000000000000007,-8.225905579903426,3.6806052328759087
2.3500000000000005,-8.41100966349737,3.773521104033658
2.4000000000000004,-8.598222358264167,3.869314532649166
2.45,-8.787579928225842,3.9680250030831945
2.5,-8.9791194595602,4.069691956599508
2.5500000000000007,-9.172878883154514,4.174354745994985
2.6000000000000005,-9.368896997887385,4.282052587438656
2.6500000000000004,-9.56721349466702,4.392824509412411
2.7,-9.76786898125274,4.506709298645065
2.75,-9.970905007891483,4.6237454429316625
2.8000000000000007,-10.176364093797533,4.743971070728671
2.8500000000000005,-10.384289754511045,4.867423887417191
2.9000000000000004,-10.594726530165914,4.994141108125907
2.95,-10.807720014705229,5.1241593870077295
3.0,-11.023316886078977,5.257514742864843
