t,YawGradient,Roll,FL normal force,FR normal force,RL normal force,RR normal force
0.19,0.05326530131478082,8.350451129649366,0,395.3682494770814,0,516.5977094352479
0.2,0.04012882024277096,7.692609144249721,0,374.55343516863377,0,494.11770998212444
0.21000000000000002,0.029227128147765156,6.831960554165659,0,347.2715460922714,0,464.6532697796531
0.22000000000000003,0.019961124041202465,5.842697881997977,0,315.885161093981,29.244026018500477,430.75597398149955
0.22999999999999998,0.013319316844715753,4.793612878247523,0,282.5741761400519,65.21988976874388,394.7801102312561
0.24,0.007633907792107276,3.7606962962630752,10.255417371948269,249.74458262805172,100.67585076170414,359.32414923829583
0.25,0.0019423461181545126,2.8897431160794533,37.97971437929175,222.02028562070825,130.61809152963508,329.3819084703649
0.26,-0.001814726389931125,2.208487922416214,59.6715546586024,200.32844534139758,154.0452790312906,305.9547209687094
0.27,-0.004329557673948013,1.68748059213063,76.26397118518912,183.73602881481088,171.96508888000426,288.03491111999574
0.27999999999999997,-0.006018806785561135,1.2951325000203364,88.76066914908152,171.23933085091846,185.46152268100803,274.53847731899197
0.29,-0.007135576097495494,1.0032936930850187,98.05714296018299,161.942857039817,195.5017143969976,264.4982856030024
0.30000000000000004,-0.007838650852347898,0.7888803233985995,104.88815254532058,155.11184745467943,202.87920474894622,257.1207952510538
0.31000000000000005,-0.008232235781341343,0.6337527250682529,109.83126047019503,150.16873952980498,208.21776130781063,251.78223869218937
0.32000000000000006,-0.008388256328273402,0.5239695925232772,113.3304229006753,146.6695770993247,211.99685673272933,248.00314326727067
0.33,-0.00835891313638939,0.4489266715304403,115.72334921138017,144.27665078861983,214.5812171482906,245.4187828517094
0.34,-0.0081838741172477,0.40057950465216835,117.26622719793687,142.73377280206313,216.24752537377182,243.75247462622818
0.35000000000000003,-0.007894502480589953,0.37280853624042287,118.15393354171907,141.84606645828092,217.2062482250566,242.7937517749434
0.36000000000000004,-0.007516416760328822,0.3609262833752206,118.53572783729226,141.46427216270774,217.61858606427563,242.38141393572437
0.37000000000000005,-0.007071085820271778,0.36130580690971975,118.52708651636301,141.472913483637,217.60925343767207,242.39074656232793
0.38,-0.006576846090736535,0.37110564536841,118.21846551026294,141.78153448973706,217.275942751084,242.724057248916
0.39,-0.006049560100422253,0.38806860298302165,117.68171081949917,142.3182891805008,216.69624768505912,243.30375231494088
0.4,-0.005503045018066105,0.4103758515387634,116.97470715962643,143.02529284037357,215.93268373239655,244.06731626760345
0.41,-0.004949350577251509,0.43654189544315714,116.14472483585615,143.85527516414385,215.03630282272465,244.96369717727535
0.42000000000000004,-0.00439893807525273,0.4653394326946457,115.23081414677567,144.76918585322431,214.04927927851773,245.95072072148227
0.43,-0.003860795943031389,0.49574590001076924,114.26550887830312,145.73449112169686,213.00674958856737,246.99325041143263
0.44000000000000006,-0.0033425173150974296,0.5269055902020795,113.276033571837,146.72396642816298,211.93811625758397,248.06188374241603
0.45,-0.002850358246147304,0.5581028012538416,112.28515919836138,147.71484080163862,210.8679719342303,249.1320280657697
0.45999999999999996,-0.002389290225891497,0.5887426459958199,111.31181462122532,148.68818537877468,209.81675979092336,250.18324020907664
0.47000000000000003,-0.001963056654950395,0.6183370248628348,110.37153340529518,149.6284665947048,208.8012560777188,251.1987439222812
0.48,-0.0015742395800332652,0.6464939240340233,109.47679451874967,150.52320548125033,207.83493808024966,252.16506191975034
0.49000000000000005,-0.0012243400835109013,0.6729087071271082,108.63729936592765,151.36270063407235,206.92828331520187,253.07171668479813
0.5,-0.0009138732394510193,0.6973564625952025,107.86021504709292,152.13978495290706,206.08903225086036,253.91096774913964
0.51,-0.0006424765028935559,0.7196847792815474,107.15040386271285,152.84959613728716,205.32243617172986,254.67756382827014
0.52,-0.0004090288276964456,0.7398065675663297,106.51065128097001,153.48934871902998,204.6315033834476,255.3684966165524
0.53,-0.00021177673753650938,0.7576927348117952,105.94189849693166,154.05810150306834,204.01725037668618,255.98274962331382
